"PointID"	"x"	"y"	"Density"	"X-Momentum"	"Y-Momentum"	"Energy"	"TKE"	"Omega"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"	"<greek>m</greek><sub>t</sub>"
0	9.997500181200000e-01	-3.632896519016437e-05	9.846583938057633e-01	0.000000000000000e+00	0.000000000000000e+00	2.492921706187331e+00	1.000000000000000e-10	1.606263068947533e+02	9.971686824355459e-01	1.012705206910825e+00	-1.797661945685141e-01	0.000000000000000e+00	2.986852151461303e-08	1.148574980958517e-05	1.668369716319322e-06	1.371658183338945e-08	5.521246439983958e+00	6.130119306914600e-13	
1	9.990000128750000e-01	-1.452537504052920e-04	9.844360537122055e-01	0.000000000000000e+00	0.000000000000000e+00	2.492975247328292e+00	1.000000000000000e-10	1.546279240602735e+01	9.971900988919392e-01	1.012955686793103e+00	-1.784064195594151e-01	0.000000000000000e+00	2.987418399509304e-08	1.063077793373386e-05	1.542687506688029e-06	-6.157526725636300e-09	1.711828702633020e+01	5.386290556509288e-12	
2	9.977599978450000e-01	-3.251111630156300e-04	9.843812112856036e-01	0.000000000000000e+00	0.000000000000000e+00	2.493063949860083e+00	1.000000000000000e-10	7.196330437865530e+00	9.972255799046578e-01	1.013048165153700e+00	-1.761536568471261e-01	0.000000000000000e+00	2.987627443684410e-08	9.994003670322609e-06	1.447941666329198e-06	-9.256955471229544e-09	2.432736118394560e+01	5.730068328974490e-12	
3	9.960200190539999e-01	-5.769983605901485e-04	9.842921375576350e-01	0.000000000000000e+00	0.000000000000000e+00	2.493089041129602e+00	1.000000000000000e-10	7.213774918817572e+00	9.972356164124688e-01	1.013150037840342e+00	-1.755164182559475e-01	0.000000000000000e+00	2.987857712621122e-08	9.523597597945946e-06	1.376681817556620e-06	-1.331198411030420e-08	2.371574984683070e+01	6.014091437360041e-12	
4	9.937800168990000e-01	-9.004365425509819e-04	9.841807420677330e-01	0.000000000000000e+00	0.000000000000000e+00	2.493093892277173e+00	1.000000000000000e-10	4.365461557546569e+00	9.972375568715018e-01	1.013266683898262e+00	-1.753932145078198e-01	0.000000000000000e+00	2.988121360802685e-08	9.167934547283438e-06	1.321443306470809e-06	-1.710378704847354e-08	2.990656436500047e+01	6.248100181898596e-12	
5	9.910500049590000e-01	-1.293363843462116e-03	9.840541453927293e-01	0.000000000000000e+00	0.000000000000000e+00	2.493095868554914e+00	1.000000000000000e-10	2.135356211225732e+00	9.972383473826033e-01	1.013397842030951e+00	-1.753430233267743e-01	0.000000000000000e+00	2.988417792057628e-08	8.882817419071293e-06	1.275851202971802e-06	-2.089395971418630e-08	4.208239959186817e+01	6.449152835232435e-12	
6	9.878399968150000e-01	-1.753609743384430e-03	9.839237748062720e-01	0.000000000000000e+00	0.000000000000000e+00	2.493123803212930e+00	1.000000000000000e-10	2.134968414164894e+00	9.972495212458148e-01	1.013543474383640e+00	-1.746335716942995e-01	0.000000000000000e+00	2.988746914619276e-08	8.632935564970675e-06	1.234828931620834e-06	-2.470082118430403e-08	4.148098794665459e+01	6.636316418253795e-12	
7	9.841300249100000e-01	-2.283176811071472e-03	9.837911601235230e-01	0.000000000000000e+00	0.000000000000000e+00	2.493156385501218e+00	1.000000000000000e-10	1.256663364256185e+00	9.972625541611352e-01	1.013693347311559e+00	-1.738060850072900e-01	0.000000000000000e+00	2.989085596564784e-08	8.406289609614887e-06	1.196717190057860e-06	-2.807973939669513e-08	5.333884837163731e+01	6.815820456248568e-12	
8	9.799500107769999e-01	-2.876826092032643e-03	9.836511721291532e-01	0.000000000000000e+00	0.000000000000000e+00	2.493175222914658e+00	1.000000000000000e-10	1.003905437101795e+00	9.972700891265168e-01	1.013845270948933e+00	-1.733276745068685e-01	0.000000000000000e+00	2.989428887719618e-08	8.203256955955233e-06	1.161564450887402e-06	-3.115718077419849e-08	5.893592634528071e+01	6.985158474432734e-12	
9	9.752799868580000e-01	-3.536324145770189e-03	9.835104839905356e-01	0.000000000000000e+00	0.000000000000000e+00	2.493189366234320e+00	1.000000000000000e-10	8.289074782785912e-01	9.972757464543875e-01	1.013996050563691e+00	-1.729684790865051e-01	0.000000000000000e+00	2.989769568953426e-08	8.022098117023016e-06	1.129184051237474e-06	-3.390134338758745e-08	6.412134239961621e+01	7.143618498355853e-12	
